Localidade;IPDM_EmpRenda;Renda_PC;IPDM_Saude;IDHM_Long;IDHM_Educ
Jundiaí do Sul;0,3811;485,56;0,7923;0,817;0,605
Juranda;0,4169;537,44;0,7961;0,818;0,639
Jussara;0,594;670,90;0,6075;0,835;0,619
Kaloré;0,3453;527,37;0,9276;0,848;0,657
Lapa;0,4779;588,91;0,5621;0,848;0,595
Laranjal;0,31;296,60;0,3984;0,79;0,436
Laranjeiras do Sul;0,4266;636,83;0,7973;0,835;0,594
Leópolis;0,3953;475,07;0,7406;0,812;0,663
Lidianópolis;0,3387;476,13;0,8338;0,802;0,598
Lindoeste;0,3506;443,24;0,6446;0,769;0,588
Loanda;0,4518;719,55;0,8617;0,815;0,645
Lobato;0,5109;650,89;0,8139;0,841;0,692
Londrina;0,6781;1062,64;0,8402;0,837;0,712
Luiziana;0,432;480,72;0,7284;0,781;0,58
Lunardelli;0,3989;467,01;0,7456;0,826;0,607
Lupionópolis;0,429;630,34;0,7706;0,856;0,595
Mallet;0,4212;543,28;0,7899;0,809;0,645
Mamborê;0,4149;607,00;0,8793;0,821;0,649
Mandaguaçu;0,4387;690,41;0,6813;0,825;0,625
Mandaguari;0,5042;760,48;0,8426;0,84;0,689
Mandirituba;0,4823;524,53;0,5621;0,807;0,515
Manfrinópolis;0,3421;432,62;0,6448;0,805;0,52
Mangueirinha;0,4223;599,28;0,5148;0,811;0,579
Manoel Ribas;0,4489;726,88;0,3482;0,806;0,628
Marechal Cândido Rondon;0,5759;1018,98;0,6982;0,842;0,704
Maria Helena;0,3306;550,43;0,7827;0,842;0,607
Marialva;0,5054;764,23;0,8167;0,814;0,666
Marilândia do Sul;0,4352;494,09;0,876;0,831;0,599
Marilena;0,3631;458,19;0,6069;0,828;0,585
Mariluz;0,3482;462,27;0,6292;0,794;0,504
Maringá;0,6804;1187,53;0,8236;0,852;0,768
Mariópolis;0,445;677,62;0,6662;0,804;0,591
Maripá;0,4809;772,91;0,7348;0,866;0,684
Marmeleiro;0,4203;745,72;0,6859;0,842;0,613
Marquinho;0,2601;359,19;0,7515;0,814;0,463
Marumbi;0,3969;642,08;0,8014;0,826;0,643
Matelândia;0,5296;678,34;0,7565;0,831;0,642
Matinhos;0,4769;799,30;0,5878;0,834;0,662
Mato Rico;0,2977;288,49;0,8581;0,812;0,536
Mauá da Serra;0,4804;475,41;0,6911;0,793;0,529
Medianeira;0,5859;900,59;0,8533;0,849;0,686
Mercedes;0,4064;645,39;0,7576;0,843;0,68
Mirador;0,4029;464,55;0,7988;0,8;0,599
Miraselva;0,3747;594,68;0,9658;0,854;0,707
Missal;0,4578;641,34;0,6678;0,828;0,608
Moreira Sales;0,4175;523,75;0,6623;0,802;0,57
Morretes;0,3921;648,33;0,5913;0,837;0,544
Munhoz de Melo;0,3871;629,08;0,688;0,856;0,634
Nossa Senhora das Graças;0,3015;536,61;0,9579;0,832;0,631
Nova Aliança do Ivaí;0,3683;527,17;0,6671;0,794;0,691
Nova América da Colina;0,7284;470,08;0,7868;0,809;0,643
Nova Aurora;0,4382;718,65;0,8525;0,844;0,642
Nova Cantu;0,359;442,46;0,6053;0,792;0,558
Nova Esperança;0,4377;714,69;0,8569;0,829;0,628
Nova Esperança do Sudoeste;0,3605;664,87;0,788;0,805;0,633
Nova Fátima;0,3684;546,51;0,595;0,819;0,584
Nova Laranjeiras;0,3555;359,72;0,3541;0,833;0,517
Nova Londrina;0,4698;774,72;0,6468;0,856;0,691
Nova Olímpia;0,4102;617,38;0,8234;0,813;0,631
Nova Prata do Iguaçu;0,3652;659,10;0,8463;0,798;0,646
Nova Santa Bárbara;0,2885;500,10;0,5;0,799;0,588
Nova Santa Rosa;0,471;757,05;0,9467;0,809;0,66
Nova Tebas;0,309;406,14;0,7669;0,788;0,553
Novo Itacolomi;0,372;551,33;0,8764;0,831;0,633
Ortigueira;0,3316;391,50;0,5629;0,811;0,441
Ourizona;0,335;706,05;0,9531;0,803;0,644
Ouro Verde do Oeste;0,4097;574,61;0,7556;0,817;0,634
Paiçandu;0,3943;599,32;0,7189;0,833;0,632
